word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,affiliation,compound,pos,neg,neu,frequency,sentiment
marital,exception,rape,angela,harris,lee,capture,dual,legacy,well,Left,-0.6,0.068,0.153,0.779,208,Negative
sexual,assault,beginning,look,quite,antiquated,course,attracting,law,students,Left,-0.2,0.1,0.123,0.777,234,Negative
proportional,mens,rea,”,says,equal,punishment,track,guiltiness,defendant,Left,-0.7,0.0,0.207,0.793,128,Negative
consider,case,ryan,holle,young,evening,party,wrapping,holle,’,Left,0.4,0.101,0.0,0.899,762,Positive
interests,another,person,society,scholars,kessler,ferzan,stephen,garvey,westen,Left,0.2,0.074,0.0,0.926,321,Positive
responsibility,even,jarring,illustration,“,pound,”,approach,criminal,liability,Left,-0.6,0.0,0.191,0.809,208,Negative
doubly,considers,felony,murder,laws—as,barkow,observes—,“,lump,disparate,Left,-0.8,0.0,0.263,0.737,93,Negative
mind,result,deeply,unjust,system,,,,,,Left,-0.7,0.0,0.205,0.795,128,Negative
policies,may,criminogenic,given,that—as,meares,explains—,“,legitimacy,criminal,Left,-0.5,0.0,0.124,0.876,272,Negative
say,something,morally,condemnable,offender—that,failed,sufficiently,concern,him,herself,Left,-0.5,0.0,0.117,0.883,272,Negative
she,failed,sufficiently,concern,him,interests,another,person,society,scholars,Left,-0.3,0.068,0.113,0.819,263,Negative
couple,triple,teams,thrown,houston,south,florida,cleveland,columbus,research,Left,0.0,0.0,0.0,1.0,3689,Neutral
sixteen,five,states—florida,ohio,north,arizona,iowa—that,seventy,nine,electors,Left,0.0,0.0,0.0,1.0,3689,Neutral
trump,four,moves,ensure,victory,people,opportunity,vote,count,votes,Left,0.7,0.184,0.0,0.816,455,Positive
’,every,litigation,voting,everywhere,hardly,matters,least,national,outcome,Left,-0.2,0.0,0.115,0.885,234,Negative
teams,thrown,houston,atlanta,south,cleveland,columbus,research,triangle,phoenix,Left,0.0,0.0,0.0,1.0,3689,Neutral
win,really,needs,win,texas,fifty,four,electors,texas,thirty,Left,0.8,0.241,0.0,0.759,254,Positive
thing,final,ruling,might,support,pelosi,standing,right,thing,jc,Left,0.4,0.097,0.0,0.903,762,Positive
right,sadly,justice,ginsburg,achieve,struggled,hard,achieve,live,past,Left,-0.3,0.106,0.206,0.688,263,Negative
activist,business,executives,armed,tomes,rand,friedrich,hayek,describing,executives,Left,0.0,0.0,0.0,1.0,3689,Neutral
