word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,affiliation,compound,pos,neg,neu,frequency,sentiment
maybe,even,approaching,gnomic,standards,uttered,sheraton,pages,new,york,“,doughy,Left,0.0,0.0,0.0,1.0,3153,Neutral
delicious,”,glendale,bagels,quality,deli,ave,nr,69th,pl,glendale,underrated,Left,0.6,0.117,0.0,0.883,517,Positive
tend,blistery,golden,covered,generously,seeds,cool,stacked,thick,mind,boggling,array,Left,0.6,0.154,0.0,0.846,517,Positive
cream,cheeses,goofy,throwbacks,like,pimento,get,fat,dappled,salmon,smoky,whitefish,Left,0.4,0.079,0.0,0.921,747,Positive
“,straussie,’,”,available,plain,everything,flavors,sundays,refined,teacup,clinking,Left,0.0,0.0,0.0,1.0,3153,Neutral
homthe,origins,manhattan,’,venerated,shops,co,owner,aaron,wenzelberg,lost,lease,Left,-0.3,0.0,0.076,0.924,291,Negative
coffee,station,everyone,looking,phones,knows,talking,—,loud,self,described,defector,Left,-0.4,0.0,0.094,0.906,260,Negative
papaya,still,gets,us,excited,kids,store,miss,slightly,roomier,branch,used,Left,0.2,0.075,0.05,0.875,347,Positive
crispy,shallots,goes,top,martin,’,makes,potato,rolls,’,two,order,Left,0.2,0.062,0.0,0.938,347,Positive
mile,’,hoyt,housemade,wiener,undone,pants,poppy,seed,roll,kitchen,switched,Left,0.0,0.0,0.0,1.0,3153,Neutral
tomatoes,jalapeños,tony,ought,bottle,sell,frankel,’,manhattan,ave,nassau,ave,Left,0.0,0.0,0.0,1.0,3153,Neutral
hot,might,selling,monstrous,thing,short,’,papaya,broadway,72nd,st,maybe,Left,0.0,0.0,0.0,1.0,3153,Neutral
side,makes,mean,sabrett,get,“,”,–style,housemade,“,chili,moni,Left,0.0,0.0,0.0,1.0,3153,Neutral
new,stand,inside,coney,island,’,park,’,much,fun,visit,takeout,Left,0.5,0.109,0.0,0.891,568,Positive
eat,frankfurter,feltman,’,world,’,,,,,,,Left,0.0,0.0,0.0,1.0,3153,Neutral
whose,motto,—,“,tastier,filet,”,—we,’,always,considered,bit,Left,0.0,0.0,0.0,1.0,3153,Neutral
hoyt,housemade,wiener,undone,fancy,pants,seed,roll,kitchen,switched,delightfully,squishy,Left,0.6,0.113,0.0,0.887,517,Positive
years,later,tour,guide,named,michael,bought,recipe,secret,spice,mix,included,Left,0.0,0.0,0.0,1.0,3153,Neutral
katz,’,without,mentioning,scene,harry,—,well,suppose,’,point,although,Left,0.3,0.075,0.0,0.925,461,Positive
night,brooklyn,dinermultiple,locationsold,school,restaurpreneur,fireman,’,masterpiece,supercolossal,bun,dwarfing,Left,0.6,0.128,0.0,0.872,517,Positive
’,generally,overlooked,forgotten,sally,’,’,gag,turkey,sandwich,people,remember,Left,-0.5,0.0,0.184,0.816,285,Negative
gets,us,excited,kids,candy,store,slightly,roomier,branch,used,corner,sixth,Left,0.3,0.076,0.0,0.924,461,Positive
bruno,henry,st,nr,union,st,gardens,photo,liz,claymanyou,’,never,Left,0.0,0.0,0.0,1.0,3153,Neutral
homthe,west,coast,vibe,fairly,perceptible,market,sister,stand,tacos,founded,transplants,Left,0.0,0.0,0.0,1.0,3153,Neutral
peninsula,applied,tempura,techniques,local,ingredients,style,serves,empellón,taqueria,west,village,Left,0.0,0.0,0.0,1.0,3153,Neutral
nr,union,st,carroll,gardens,photo,claymanyou,’,never,know,unassuming,façade,Left,0.0,0.0,0.0,1.0,3153,Neutral
greater,sum,parts,best,enjoyed,standout,,,,,,,Left,0.9,0.27,0.0,0.73,146,Positive
—,hot,crisply,battered,fillets,fresh,,,,,,,Left,0.3,0.076,0.0,0.924,461,Positive
supercolossal,veal,parmesan,garlic,chile,suffused,hair,pasta,limited,supply,white,lasagna,Left,-0.2,0.0,0.061,0.939,240,Negative
two,decades,since,mom,pop,owners,klinger,emiliano,coppa,established,venetian,inspired,Left,0.5,0.099,0.0,0.901,568,Positive
rigatoni,honorable,mentionsal,là,fifth,ave,st,park,slope,’,nearly,two,Left,0.5,0.111,0.0,0.889,568,Positive
ignominiously,picture,cheaper,populist,neighbor,continues,celebrity,studded,sidewalk,dining,torch,movie,Left,0.0,0.0,0.0,1.0,3153,Neutral
’,uptown,seafood,shrine,marea,luxed,ingredients,’,close,plus,average,plate,Left,0.0,0.0,0.0,1.0,3153,Neutral
function,primarily,—,despite,undying,devotion,’,ribalta,otto,brings,number,establishments,Left,0.5,0.142,0.0,0.858,568,Positive
onetime,understudy,missy,robbins,mark,ladner,sterling,excels,big,bold,brightly,acidic,Left,0.8,0.242,0.0,0.758,510,Positive
seasonal,ingredients,bearlike,embrace,offal,—,’,tongues,testa,sweetbreads,calf,’,Left,0.3,0.081,0.0,0.919,461,Positive
better,day,dry,aged,creekstone,sirloin,union,ave,10th,st,williamsburg,fine,Left,0.6,0.144,0.0,0.856,517,Positive
remains,good,hands,longtime,deputy,successor,rodriguez,though,miss,layer,lasagna,marea,Left,0.5,0.144,0.048,0.808,568,Positive
10th,st,williamsburg,fine,dining,fugitive,robbins,built,brooklyn,base,operations,around,Left,0.2,0.058,0.0,0.942,347,Positive
except,’,tuscany,stocking,new,harvest,oil,’,disappointed,minimal,menu,’,Left,-0.5,0.0,0.107,0.893,285,Negative
butter,sauced,swiss,chard,malfatti,beet,seed,casunziei,calf,’,liver,luscious,Left,0.0,0.0,0.0,1.0,3153,Neutral
dissipate,bracingly,bitter,negroni,things,sodi,sodi,’,sleek,unfussy,paean,food,Left,-0.4,0.0,0.091,0.909,260,Negative
leaking,juice,adorned,nothing,clove,garlic,sprig,lupa,osteria,romana,thompson,st,Left,0.2,0.058,0.0,0.942,347,Positive
venetian,inspired,beachhead,incipient,brooklyn,restaurant,much,changed,foodwise,strip,borough,klinger,Left,0.5,0.099,0.0,0.901,568,Positive
st,nr,third,ave,founding,chef,jenkins,spends,time,native,maine,guiding,Left,0.0,0.0,0.0,1.0,3153,Neutral
sodi,’,sleek,unfussy,paean,food,grew,eating,tuscany,simple,salads,blanketed,Left,0.0,0.0,0.0,1.0,3153,Neutral
longtime,deputy,successor,melissa,rodriguez,though,layer,lasagna,marea,central,park,nr,Left,0.2,0.061,0.0,0.939,347,Positive
appeared,website,pored,entire,history,strategist,picked,already,cherry,picked,things,find,Left,0.0,0.0,0.0,1.0,3153,Neutral
particularly,right,status,candles,instagram,friendly,oil,time,tool,around,discover,delights,Left,0.7,0.181,0.0,0.819,361,Positive
quadrant,musical,blocks,introduce,rudiments,melody,like,doll,teaches,code,brain,candy,Left,0.2,0.077,0.059,0.864,347,Positive
barbie,like,doll,teaches,code,brain,side,stuff,’,silly,noisy,beloved,Left,0.6,0.205,0.051,0.744,517,Positive
blocks,introduce,rudiments,melody,barbie,like,teaches,code,brain,candy,side,stuff,Left,0.2,0.077,0.059,0.864,347,Positive
modern,dollhouse,read,talking,microscope,singing,car,repair,read,coding,kit,camera,Left,0.0,0.0,0.0,1.0,3153,Neutral
educational,quadrant,musical,blocks,introduce,rudiments,barbie,like,doll,teaches,code,brain,Left,0.2,0.077,0.059,0.864,347,Positive
brand,offers,full,refund,free,removal,choice,comes,ten,year,warranty,tl,Left,0.5,0.102,0.0,0.898,568,Positive
sleepers,’,always,love,foam,everyone,’,go,wrong,tester,lauren,ro,Left,0.3,0.126,0.093,0.781,461,Positive
safe,fewer,chemicals,saatva,’,tester,milliner,waddell,strategist,writerhow,sleep,never,Left,0.4,0.094,0.0,0.906,747,Positive
hot,makes,people,call,soft,mattress,iorio,adelson,strategist,senior,writer,found,Left,0.0,0.0,0.0,1.0,3153,Neutral
everyone,else,’,go,wrong,tester,ro,strategist,writerhow,sleep,mostly,sleep,Left,-0.5,0.0,0.1,0.9,285,Negative
prefers,firm,mattress,little,give,know,og,mattress,box,companies,—,’,Left,0.0,0.0,0.0,1.0,3153,Neutral
foam,mattress,people,like,strategist,writer,corsillo,makes,feel,hot,makes,people,Left,0.4,0.079,0.0,0.921,747,Positive
good,mattress,anyone,’,overthink,tester,keong,former,strategist,writerhow,sleep,loyal,Left,0.7,0.182,0.0,0.818,361,Positive
know,’,prefer,innerspring,system,tester,rhodes,former,strategist,senior,editorhow,sleep,Left,0.0,0.0,0.0,1.0,3153,Neutral
’,proprietary,cooling,memory,foam,tester,builder,strategist,deputy,editorhow,sleep,stomach,Left,0.0,0.0,0.0,1.0,3153,Neutral
editorhow,sleep,slouch,night,need,lie,,,,,,,Left,0.0,0.0,0.0,1.0,3153,Neutral
’,said,attract,bluebirds,find,gifts,lovers,though,may,seem,like,obvious,Left,0.8,0.244,0.0,0.756,510,Positive
photo,illustration,retailersby,age,kids,independent,library,kindle,paperwhite,start,code,build,Left,0.0,0.0,0.0,1.0,3153,Neutral
even,ordinary,years,much,else,going,,,,,,,Left,0.0,0.0,0.0,1.0,3153,Neutral
walkman,’,speed,’,got,collection,parton,lyrics,perhaps,’,prefer,photo,Left,0.0,0.0,0.0,1.0,3153,Neutral
stressful,time,even,ordinary,years,much,going,think,’,reason,spend,unnecessary,Left,-0.5,0.0,0.105,0.895,285,Negative
go,gift,ideas,along,artisanal,beans,coffee,filters,milk,frother,nice,option,Left,0.7,0.169,0.0,0.831,361,Positive
books,magazines,actually,useful,camera,gear,pack,size,camera,bag,baggu,actually,Left,0.4,0.091,0.0,0.909,747,Positive
clothing,”,neutral,tones,—,like,hoodie,champion,—,gift,wish,list,Left,0.9,0.343,0.0,0.657,146,Positive
list,find,gifts,teen,boys,photo,mcneal,freeformapple,airpods,appear,nearly,gift,Left,0.4,0.091,0.0,0.909,747,Positive
pizza,toy,cheekily,named,brand,colorado,filled,high,grade,catnip,“,even,Left,0.0,0.0,0.0,1.0,3153,Neutral
tech,gift,get,matter,toy,blogger,jepsen,says,year,old,niece,nephew,Left,0.5,0.125,0.0,0.875,568,Positive
support,language,acquisition,skills,set,rainbow,tiles,—,kinetic,sand,kit,even,Left,0.4,0.088,0.0,0.912,747,Positive
strategy,game,find,gifts,year,olds,tallarico,mother,year,old,says,sons,Left,0.0,0.0,0.0,1.0,3153,Neutral
bibliophile,life,like,“,introductory,fountain,”,jaunty,shade,yellow,find,gifts,Left,0.6,0.153,0.0,0.847,517,Positive
onesies,wifi,enabled,baby,monitors,writer,stein,whose,almost,months,old,says,Left,0.0,0.0,0.0,1.0,3153,Neutral
stein,whose,almost,months,old,says,’,inclined,get,comfortable,stuff,new,Left,0.5,0.105,0.0,0.895,568,Positive
inclined,get,comfortable,stuff,new,mom,—,like,strategist,favorite,“,buttery,Left,0.8,0.26,0.0,0.74,510,Positive
abercrombie,’,perfume,—,think,vsco,water,bottle,“,fail,proof,idea,Left,-0.5,0.0,0.119,0.881,285,Negative
hunger,poverty,new,york,city,“,seeks,provide,better,quality,life,children,Left,-0.3,0.085,0.155,0.76,291,Negative
lolo,buyfrom,sunday,taster,’,club,subscription,months,diana,founder,owner,sunday,Left,0.0,0.0,0.0,1.0,3153,Neutral
taster,’,club,cookie,subscription,months,founder,owner,sunday,actually,got,start,Left,0.0,0.0,0.0,1.0,3153,Neutral
mug,tsao,directed,us,local,ceramicist,kontos,whose,creations,include,pitcher,pendant,Left,0.4,0.082,0.0,0.918,747,Positive
shopping,gifts,give,back,holiday,season,liang,cloud,nine,hospitality,operating,group,Left,0.4,0.085,0.0,0.915,747,Positive
dish,art,object,function,”,says,kislin,sounds,’,founder,creative,director,Left,0.4,0.097,0.0,0.903,747,Positive
living,somewhere,warm,”,solange,knowles,brand,tigra,tigra,buycasa,veronica,milagro,Left,0.2,0.064,0.0,0.936,347,Positive
brooklyn,café,boutique,sounds,strategist,writer,reid,discovered,shortly,pandemic,she,“,Left,0.0,0.0,0.0,1.0,3153,Neutral
stocking,medicine,cabinet,adopting,she,’,,,,,,,Left,0.0,0.0,0.0,1.0,3153,Neutral
red,maple,leaves,marigolds,lolo,founder,williams,says,boxes,handmade,angeles,greengardann,Left,0.0,0.0,0.0,1.0,3153,Neutral
’,recommendation,cheeky,wi,charm,designer,pia,kontos,says,“,would,fitting,Left,0.4,0.091,0.0,0.909,747,Positive
