Left Political,Left Emotional,Right Political,Right Emotional,Window Size
policy,bad,campaign,reason,5
training,stand,trump,version,5
gender,banished,westminster,continuity,5
equality,collection,trump,elements,5
initiatives,history,vote,rumored,5
death,affair,report,quality,5
challenge,sexuality,refugees,spread,5
president,sex,report,fatal,5
election,conception,secretary,virus,5
abortion,abuse,online,virus,5
success,notion,convention,deadly,5
south,plantation,talks,breakdown,5
behavior,subject,failed,released,5
behavior,calls,appearance,relief,5
cultural,substitution,president,resort,5
rape,decay,secret,province,5
common,interrelated,appearance,flat,5
work,experiences,upcoming,mountainous,5
term,reproduction,actors,weather,5
workplace,instructive,prison,proper,5
straight,documentary,group,guidance,5
analysis,reported,points,important,5
production,reported,wars,parts,5
career,professor,representative,visiting,5
senator,account,points,chamber,5
terror,sex,economic,saving,5
retaliation,music,national,flat,5
senator,violent,national,journal,5
senator,stallion,diverse,comptroller,5
justice,lopsided,zealand,currency,5
cultural,dynamics,tax,recent,5
studies,publicly,theorem,choke,5
video,journal,progressive,point,5
power,chronicle,tax,program,5
accusation,recent,gift,slaughter,5
media,thinking,head,foundation,5
violence,uncomfortable,commerce,institute,5
movements,dozen,union,spread,5
violence,construction,control,date,5
political,numbers,rate,patient,5
political,determined,income,found,5
violence,protect,tax,virus,5
justice,female,wall,study,5
alliance,childhood,street,adopt,5
alliance,innocence,office,immunization,5
bernstein,innocence,ban,consistent,5
term,copyright,hearing,meeting,5
violence,outrage,operation,nurse,5
police,rage,access,practitioner,5
green,waver,banking,walk,5
rape,zeal,services,medical,5
zeal,lawyer,federal,czar,5
executive,efficacy,finance,effects,5
away,interview,gun,enjoin,5
solidarity,fruitful,credit,prevent,5
conflicts,weapon,legal,angelic,5
race,kill,pandemic,final,5
analysis,refused,national,project,5
manifesto,prosecutor,national,register,5
philosophical,produce,tax,perpetually,5
beliefs,eyewitness,limitation,lunch,5
restrictions,spread,pacific,brilliant,5
freedom,instructed,research,expert,5
harm,wearing,bloomberg,witness,5
equal,prevent,covid,supervisor,5
benefit,imposing,states,late,5
experience,words,department,barring,5
conflict,valuable,public,equipment,5
uncertainty,hour,committee,possession,5
society,bloom,practices,numbers,5
heidegger,calculated,support,create,5
arendt,experience,staff,word,5
beauvoir,century,department,style,5
beauvoir,dimension,public,motorcycle,5
sartre,thinking,health,siren,5
heidegger,writer,association,supporters,5
conditions,sight,coronavirus,grow,5
uncertainty,waiting,vaccine,concerned,5
middle,thinking,covid,close,5
sartre,wisdom,safe,gas,5
arendt,residence,side,chamber,5
heidegger,knowing,positive,literary,5
development,conversation,language,daily,5
community,experienced,response,edition,5
arendt,essay,illegal,sign,5
totalitarianism,individuality,election,basis,5
alienation,fun,appoint,hoping,5
identity,unlike,court,transmit,5
demagogue,humiliation,secretary,conduct,5
president,badge,election,firearms,5
acts,source,michigan,capitol,5
political,rush,michigan,written,5
political,hour,johnson,capitol,5
left,passenger,claim,supporting,5
election,result,election,practiced,5
laws,pushing,voter,baseball,5
victory,squeezing,information,capitol,5
